Census Tract,PM2.5 Score,PM2.5 Weight,Pollution Burden Score,PB Weight,Education Score,Edu Weight,Poverty Score,Pov Weight,Unemployment Score,Unemp Weight,Housing Burden Score,HB Weight,Ling Iso Score,LI Weight,Incarceration Score,Incar Weight,Avg. Energy Burden (% income),Energy Burden Score,EB Weight,Cumulative Weighted Score (Ignore NaNs)
6037620305,7.053245806,,5.14,,0.1150115012,,0.6111612063,,5.502,,1.420710355,,1.045,,4.499494439,,1,0,,2.305511573
6037620400,7.275190164,,6.84,,0.04200420042,,0.2895501453,,8.398,,2.71835918,,1.636,,8.756319515,,1,0,,3.422480444
6037620501,7.846201938,,6.31,,1.929192919,,2.187155596,,2.111,,1.581790895,,1.891,,0.2831142568,,1,0,,2.006265842
6037620521,8.274460769,,4.2,,2.330233023,,2.85041579,,3.358,,4.500250125,,3.069,,2.962588473,,1,0,,3.059598634
6037620522,8.274460769,,4.43,,1.03110311,,1.51788398,,0.972,,2.442221111,,2.726,,2.103134479,,1,0,,1.917839385
6037620601,7.542982182,,5.34,,1.367136714,,1.543933474,,8.169,,6.724362181,,2.29,,1.162790698,,1,0,,3.741897085
6037620602,7.686777118,,5.9,,2.694269427,,0.1011922653,,1.584,,0.0140070035,,1.636,,2.173913043,,1,0,,1.480041333
6037620701,7.50547046,,4.83,,0.8420842084,,1.027953111,,1.066,,3.617808904,,2.804,,1.536905966,,1,0,,1.973853469
6037620702,7.362717516,,5.24,,0.6520652065,,0.1192265304,,0.557,,4.183091546,,2.953,,N/A,,1,0,,0
6037620703,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.5864509606,,,N/A,,0
6037620704,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,2.042467139,,,N/A,,0
6037620800,7.519016359,,5.11,,2.642264226,,0.7073439535,,4.986,,0.8454227114,,1.228,,N/A,,1,0,,0
6037620801,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,4.368048534,,,N/A,,0
6037620802,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,2.13346815,,,N/A,,0
6037620901,7.599249766,,4.44,,0.5860586059,,1.704238052,,0.972,,0.2211105553,,0.849,,6.814964611,,1,0,,1.740026866
6037620904,7.269980202,,3.45,,0,,0.3366396153,,3.921,,1.626813407,,0,,6.380182002,,1,0,,2.017348319
6037621001,7.360633531,,5.06,,0.5860586059,,0.355675784,,4.986,,1.195597799,,1.045,,3.923154702,,1,0,,2.144018882
6037621002,7.375221423,,4.01,,0.04200420042,,0.7664562669,,0.115,,3.661830915,,N/A,,N/A,,1,0,,0
6037621004,7.375221423,,4.62,,1.679167917,,0.6562468691,,4.699,,2.023011506,,N/A,,N/A,,1,0,,0
6037621005,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,5.247724975,,,N/A,,0
6037621102,7.3648015,,5.41,,0.6520652065,,1.253381425,,5.725,,0.2211105553,,3.264,,0.08088978766,,1,0,,2.146412651
6037621104,7.3648015,,5.8,,0.899089909,,1.411682196,,0.972,,2.968484242,,0.849,,5.631951466,,1,0,,2.131750847
6037621201,7.330415755,,6.08,,1.578157816,,0.9688407975,,5.252,,3.916958479,,2.726,,1.122345804,,1,0,,2.777377958
6037621204,7.330415755,,5.38,,1.367136714,,0.7905019537,,2.111,,4.135067534,,6.481,,0.9605662285,,1,0,,2.501250989
6037621301,7.151193081,,5,,0.1770177018,,1.179240557,,3.921,,3.223611806,,2.29,,1.041456016,,1,0,,2.261673191
6037621324,7.153277066,,4.74,,N/A,,1.111111111,,2.686,,4.443221611,,2.142,,2.507583418,,1,0,,0
6037621326,7.134521205,,4.35,,0.899089909,,0.7664562669,,1.187,,2.333166583,,0.281,,7.714863498,,1,0,,1.993115103
6037621400,7.285610086,,5.45,,0.5860586059,,1.179240557,,1.187,,3.317658829,,2.217,,9.160768453,,1,0,,2.531730068
6037650001,8.075440242,,7.01,,2.460246025,,3.753130949,,2.375,,2.376188094,,8.189,,2.244691608,,1,0,,3.188999665
6037650003,7.952485152,,5.66,,4.123412341,,5.031559964,,7.776,,8.67833917,,6.886,,2.093023256,,1,0,,5.273992462
6037650004,7.952485152,,4.75,,3.389338934,,3.705039575,,1.584,,6.516258129,,7.031,,1.557128413,,1,0,,3.541195766
6037650101,8.123371887,,8.91,,3.95339534,,2.257288849,,5.389,,4.087043522,,4.329,,0.8897876643,,1,0,,3.521443076
